,City,Country,Link,Day Sent,Position,Notes,Status,Reply Date
FRISS,Utrecht,Netherlands,here,09-10-2021,ML Engineer,-,Denied,13-10-2021
Unilever,Rotterdam,Netherlands,here,10-10-2021,Data Scientist,-,Not Responded,
Philip Morris Interntional,Amsterdam,Netherlands,here,10-10-2021,Data Scientist,-,Denied,
Nike,Amsterdam,Netherlands,here,10-10-2021,Data Analyst,-,Denied,19-10-2021
Vinted,Amsterdam,Netherlands,here,10-10-2021,Data Analyst,-,Denied,12-11-2021
Booking.com,Amsterdam,Netherlands,here,11-10-2021,Data Scientist,-,Denied,26-10-2021
Markplaats,Amsterdam,Netherlands,here,,Data Scientist,-,Denied,
Pegasystems,Amsterdam,Netherlands,here,14-10-2021,ML Engineer,-,Not Responded,
Sana Commerce,Rotterdam,Netherlands,here,15-10-2021,Data Analyst,-,Denied,25-10-2021
Uber,Amsterdam,Netherlands,here,15-10-2021,Data Scientist,-,Denied,25-10-2021
NewMotion,Amsterdam,Netherlands,here,16-10-2021,Data Analyst,-,Denied,15-11-2021
SWIFT,Leiden,Netherlands,here,17-10-2021,Data Scientist,-,Not Responded,
Shypple,Rotterdam,Netherlands,here,,Data Analyst,-,Not Responded,
Harnham,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,
Harnham,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,
Creative Clicks,Amsterdam,Netherlands,here,22-10-2021,Data Analyst,"""Not hiring from abroad""",Denied,26-10-2021
KPMG,Amstelveen,Netherlands,here,24-10-2021,Data Scientist,-,Denied,08-11-2021
Darwin Recruitment,Amsterdam,Netherlands,here,,Data Scientist,-,Not Responded,11-11-2021
Next Round,Amsterdam,Netherlands,here,28-10-2021,Data Analyst,-,Not Responded,
Booking.com,Amsterdam,Netherlands,here,28-10-2021,ML Engineer,-,Denied,22-11-2021
C3 AI,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Denied,04-11-2021
Huxley,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Not Responded,01-11-2021
Philips,Amsterdam,Netherlands,here,28-10-2021,Data Scientist,-,Denied,
Applied Medical,Amersfoort,Netherlands,here,28-10-2021,Data Analyst,-,Denied,03-11-2021
Dentsu international,Amsterdam,Netherlands,here,,Data Scientist,-,Denied,01-11-2021
Optiver,Amsterdam,Netherlands,here,30-10-2021,Data Scientist,-,Denied,
Dataiku,Amsterdam,Netherlands,here,31-10-2021,Data Scientist,-,Denied,05-11-2021
TNO,Utrecht,Netherlands,here,03-11-2021,Data Scientist,-,Denied,15-11-2021
Omron,North Brabant,Netherlands,here,03-11-2021,Data Scientist,-,Denied,23-11-2021
Huawei,Amsterdam,Netherlands,here,02-12-2021,ML Engineer,-,Not Responded,
Vopak,Rotterdam,Netherlands,here,02-12-2021,Data Scientist,-,Denied,15-12-2021
accenture,Utrecht,Netherlands,here,06-12-2021,Data Engineer,-,Not Responded,
Elastic,Amsterdam,Netherlands,here,07-12-2021,ML Engineer,-,Denied,09-12-2021
FrieslandCampina,Utrecht,Netherlands,here,17-12-2021,Data Scientist,-,Not Responded,
COMPUTD,Geleen,Netherlands,here,20-12-2021,Data Scientist,-,I Denied,21-12-2021
Santander,Utrecht,Netherlands,here,20-12-2021,Data Scientist,-,Not Responded,
Creative Clicks,Amsterdam,Netherlands,here,20-12-2021,Data Analyst,-,Denied,21-12-2021
Chaseman Global,Amsterdam,Netherlands,here,21-12-2021,Data Scientist,-,Not Responded,
Capstone Advisory,The Randstad,Netherlands,here,27-12-2021,Data Scientist,-,Not Responded,
Picnic,Amsterdam,Netherlands,here,01-01-2022,Data Analyst,-,Denied,06-01-2022
Connecterra,Amsterdam,Netherlands,here,01-01-2022,Data Scientist,Forwarded to a different position,Denied,24-01-2022
Young Financials,Amsterdam,Netherlands,here,01-01-2022,Data Analyst,-,Denied,03-01-2022
Annovating B.V,Rijswijk,Netherlands,here,02-01-2022,Data Scientist,-,Denied,05-01-2022
FindHotel,Amsterdam,Netherlands,here,02-01-2022,Data Scientist,-,Denied,04-01-2022
GoDataDriven,Amsterdam,Netherlands,here,03-01-2022,ML Engineer,-,Not Responded,
Feel Robotics,Amsterdam,Netherlands,here,05-01-2022,Data Analyst,-,Not Responded,
Qmulus,The Hague,Netherlands,here,05-01-2022,ML Engineer,-,Denied,08-01-2022
GoodHabitz,Eindhoven,Netherlands,here,05-01-2022,Data Scientist,-,Denied,17-01-2022
Adyen,Amsterdam,Netherlands,here,05-01-2022,Data Scientist,-,Denied,09-01-2022
